state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,49174,25,98348,122935.0,2.507247839924457
Alaska,13-Mar,710249,1272,24,2544,3180.0,0.44773030303456957
Arizona,4-Mar,7278717,112671,16,225342,281677.5,3.86987844148907
Arkansas,12-Mar,3017804,26052,22,52104,65130.0,2.1581918507630053
California,26-Jan,39512223,296499,23,592998,741247.5,1.8759954356402575
Colorado,6-Mar,5758736,35116,63,70232,87790.0,1.5244664801442538
Connecticut,8-Mar,3565287,47209,75,94418,118022.5,3.310322563092396
Delaware,11-Mar,973764,12531,59,25062,31327.5,3.2171552860857457
District of Columbia,8-Mar,705749,10679,64,21358,26697.5,3.782860478725439
Florida,1-Mar,21477737,232718,14,465436,581795.0,2.70882821593355
Georgia,2-Mar,10617423,106727,27,213454,266817.5,2.513015634773146
Guam,15-Mar,162742,309,51,618,772.5,0.4746777107323248
Hawaii,6-Mar,1415872,1094,81,2188,2735.0,0.19316717895402974
Idaho,14-Mar,1787065,8969,14,17938,22422.5,1.2547109366475198
Illinois,24-Jan,12671821,151572,59,303144,378930.0,2.9903358009870877
Indiana,6-Mar,6732219,49575,56,99150,123937.5,1.8409606104614245
Iowa,9-Mar,3155070,33240,46,66480,83100.0,2.6338559841778473
Kansas,8-Mar,2913314,17618,44,35236,44045.0,1.5118521381492005
Kentucky,7-Mar,4467673,18245,40,36490,45612.5,1.020945355669495
Louisiana,9-Mar,4648794,71994,45,143988,179985.0,3.871649292268059
Maine,12-Mar,1344212,3486,50,6972,8715.0,0.6483352328352968
Maryland,6-Mar,6045680,71447,55,142894,178617.5,2.9544650064178057
Massachusetts,1-Feb,6939373,110897,72,221794,277242.5,3.9952096536675574
Michigan,11-Mar,9996000,75063,72,150126,187657.5,1.8773259303721488
Minnesota,7-Mar,5639632,40163,46,80326,100407.5,1.7803909900504147
Mississippi,12-Mar,2976149,33591,32,67182,83977.5,2.821683322978789
Missouri,8-Mar,6137428,25999,37,51998,64997.5,1.0590348269666054
Montana,12-Mar,1068778,1466,15,2932,3665.0,0.3429149926364502
Nebraska,7-Mar,1934408,20425,51,40850,51062.5,2.6396964859533254
Nevada,5-Mar,3080156,24904,19,49808,62260.0,2.021326192569467
New Hampshire,2-Mar,1359711,5952,60,11904,14880.0,1.0943501964755746
New Jersey,4-Mar,8882190,174240,80,348480,435600.0,4.904195924653717
New Mexico,11-Mar,2096829,14017,41,28034,35042.5,1.6712140093445864
New York,1-Mar,19453561,399513,86,799026,998782.5,5.134188542652937
North Carolina,3-Mar,10488084,79349,27,158698,198372.5,1.891408383075498
North Dakota,12-Mar,762062,4070,50,8140,10175.0,1.3351931995034525
Northern Mariana Islands,28-Mar,57476,31,60,62,77.5,0.1348388892755237
Ohio,9-Mar,11689100,61331,46,122662,153327.5,1.311713476657741
Oklahoma,7-Mar,3956971,18496,19,36992,46240.0,1.1685706061530399
Oregon,28-Feb,4217737,11188,24,22376,27970.0,0.6631518276269952
Pennsylvania,6-Mar,12801989,92867,68,185734,232167.5,1.8135267886888513
Puerto Rico,13-Mar,3193694,8862,34,17724,22155.0,0.6937107938330973
Rhode Island,7-Mar,1059361,17243,69,34486,43107.5,4.069198318609049
South Carolina,7-Mar,5148714,50691,16,101382,126727.5,2.4613427741373863
South Dakota,11-Mar,884659,7336,56,14672,18340.0,2.0731151777125425
Tennessee,5-Mar,6833793,57591,26,115182,143977.5,2.1068460809392384
Texas,4-Mar,28995881,230346,16,460692,575865.0,1.9860234631256763
US Virgin Islands,13-Mar,107268,144,19,288,360.0,0.3356080098445016
Utah,7-Mar,3205958,27356,25,54712,68390.0,2.133215718983218
Vermont,8-Mar,623989,1272,91,2544,3180.0,0.5096243683782887
Virginia,8-Mar,8535519,67988,44,135976,169970.0,1.9913258935982685
Washington,27-Feb,7614893,37941,48,75882,94852.5,1.2456182903686237
West Virginia,17-Mar,1792147,3826,39,7652,9565.0,0.5337173792105223
Wisconsin,5-Feb,5822434,37210,36,74420,93025.0,1.5976995187923126
Wyoming,12-Mar,578759,1774,34,3548,4435.0,0.7662947790012768
