State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,19-Mar
Alabama,13-Mar,4903185,1077,1233,1432,1580,1796,1968,2119,2369,2769,2968,3191,3525,3734,3876,4113,4345,4530,4644,4837,5025,5231,5465,5778,5832,6137,6270,6499,6687,6842,7019,7158,7434,7725,8025,8285,8581,8898,9221,9567,9777,10009,10310,10617,10968,11216,11523,11771,12086,12376,12744,13119,13563,13938,14327,14730,15396,15843,16310,16823,17359,17903,18363,18642,18851,19072,19387,20043,20500,20925,21422,21989,22845,23710,24601,25615,26272,26912,27312,28206,29002,29549,30021,30454,31097,32064,33206,34183,35083,35441,37175,38045,38962,40111,41865,42862,43953,44878,45785,46962,49174
Alaska,13-Mar,710249,133,143,157,171,185,191,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,341,345,351,355,355,364,365,368,370,371,372,374,377,378,379,381,383,383,387,388,392,296,399,399,402,402,404,408,408,409,411,412,425,430,434,434,467,487,505,513,524,536,544,563,573,593,611,625,654,661,664,676,696,708,722,743,755,761,778,792,816,836,854,883,904,940,978,1017,1063,1111,1138,1138,1184,1226,1272
Arizona,4-Mar,7278717,1413,1598,1769,2019,2269,2456,2575,2726,3018,3112,3393,3539,3702,3806,3962,4234,4507,4719,4929,5064,5251,5459,5769,6045,6280,6526,6716,6948,7202,7648,7962,8364,8640,8919,9305,9707,9945,10526,10960,11119,11380,11736,12176,12674,13169,13631,13937,14170,14566,14897,15315,15608,16039,16339,16561,16783,17262,17763,18465,19255,19936,20123,21250,22233,22753,24332,25451,26889,27678,28296,29852,31264,32918,34458,35691,36705,39097,40924,43442,46689,49798,52390,54586,58179,59974,63030,66548,70051,73908,74533,79215,84092,87425,91858,94553,98089,101441,105094,108614,112671
Arkansas,12-Mar,3017804,584,643,704,743,830,875,946,1000,1119,1171,1226,1280,1410,1480,1569,1620,1695,1739,1781,1923,2227,2276,2465,2741,2829,2941,3017,3111,3192,3255,3321,3372,3431,3458,3496,3568,3611,3694,3747,3747,4034,4164,4164,4326,4463,4578,4759,4813,4923,5003,5458,5612,5612,5922,6029,6180,6277,6538,6538,7013,7253,7443,7443,8067,8067,8651,9101,9426,9740,10080,10368,10816,11547,11547,12501,12917,13191,13606,13928,14631,15142,15142,16083,16678,17375,18062,18062,18740,19310,20257,20777,21197,22075,22622,23209,23209,24253,24512,24512,26052
California,26-Jan,39512223,8155,9191,10701,12026,13438,14336,15865,16957,18309,19472,19472,21794,22348,23338,24424,26182,27528,28963,30333,30978,33261,35396,37369,39254,41137,42164,43464,45031,46500,48917,50442,52197,53616,54937,56212,58815,60614,62512,64561,66680,67939,69382,71141,73164,74936,76793,78839,80430,81795,84057,86197,88444,90631,92710,94558,96733,98980,101697,103886,106878,110583,113006,115310,117687,119807,122901,126016,128812,131319,133489,136191,139281,141983,145643,148855,151452,153560,157015,161099,165416,169309,173824,178054,183073,190222,195571,200461,206433,211243,216550,222917,232657,240195,248235,254745,260155,271684,277774,289468,296499
Colorado,6-Mar,5758736,2966,3342,3728,4173,4565,4950,5172,5429,5655,6510,6510,6893,7684,7691,7941,8280,8675,9047,9433,9730,10106,10447,10878,11262,12256,12968,13441,13879,14735,14758,15284,15768,16225,16635,16907,17364,17830,18801,18827,19375,19899,19879,20157,20475,20838,21232,21633,21938,22202,22482,22797,23191,23487,23964,24174,24269,24565,24767,25121,25613,26098,26378,26577,26788,27060,27360,27615,27848,28001,28183,28347,28499,28647,28822,20917,29130,29299,29442,29673,29901,30187,30349,30539,30705,30893,31155,31479,31796,32022,32307,32511,32715,33029,33352,33619,33866,34065,34257,34664,35116
Connecticut,8-Mar,3565287,3557,38224,4914,5276,5675,6906,7781,7781,9784,10538,11510,12035,13381,13989,14755,15884,16809,16809,17550,19815,20360,22469,23100,23921,24582,25269,25269,26312,26767,27700,28764,28764,29287,29287,30621,30995,31784,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017,39208,39640,40022,40468,40873,41303,41303,41559,41762,42022,42201,42740,42979,43091,43239,43460,43818,43968,44092,44179,44347,44461,44689,44994,45088,45235,45349,45529,45440,45557,45715,45755,45782,45899,45913,45994,46059,46206,46303,46362,46514,46572,46646,46717,46717,46717,46976,47033,47108,47209
Delaware,11-Mar,973764,368,393,450,593,673,673,928,928,1207,1326,1479,1479,1625,1761,2014,2075,2323,2323,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6277,6447,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194,8386,8529,8690,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106,10173,10229,10264,10340,10403,10444,10499,10611,10681,10775,10820,10847,10889,10980,11017,11091,11226,11376,11474,11510,11731,11923,11996,12128,12293,12414,12462,12531
District of Columbia,8-Mar,705749,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,7966,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10679
Florida,1-Mar,21477737,6955,8010,9585,11111,12151,13324,14747,15455,16364,17531,18494,19355,20601,21367,22511,22897,24119,25269,25996,26600,27495,28309,28832,30174,30839,31528,32138,32846,33193,33690,34728,35463,36078,36897,37439,38002,38828,39199,40001,40596,40982,41923,42402,43210,43210,44811,45588,46442,46944,47471,48675,49451,50127,50867,51746,52255,52634,53285,54497,55424,56163,56830,57447,58764,60183,61488,62758,63938,64904,66000,67371,69069,70971,73552,75568,77326,80109,82719,85926,89748,93797,97291,100217,103503,109014,114018,122960,132545,141075,146341,152434,158997,169106,178594,190052,200111,206447,213794,223783,232718
