state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,50508,25,101016,126270.0,2.575264853355523
Alaska,13-Mar,710249,1323,23,2646,3307.5,0.4656817538637858
Arizona,4-Mar,7278717,116892,16,233784,292230.0,4.014855914854225
Arkansas,12-Mar,3017804,26803,22,53606,67007.5,2.220405964071888
California,26-Jan,39512223,304297,23,608594,760742.5,1.9253345983596013
Colorado,6-Mar,5758736,35525,64,71050,88812.5,1.5422221126302715
Connecticut,8-Mar,3565287,47287,76,94574,118217.5,3.3157919685007124
Delaware,11-Mar,973764,12652,60,25304,31630.0,3.2482203080007066
District of Columbia,8-Mar,705749,10743,64,21486,26857.5,3.805531428312332
Florida,1-Mar,21477737,244151,14,488302,610377.5,2.8419078788421706
Georgia,2-Mar,10617423,111211,25,222422,278027.5,2.6185968101675896
Guam,15-Mar,162742,310,52,620,775.0,0.476213884553465
Hawaii,6-Mar,1415872,1130,78,2260,2825.0,0.19952368575690457
Idaho,14-Mar,1787065,9428,14,18856,23570.0,1.3189223671215093
Illinois,24-Jan,12671821,152899,60,305798,382247.5,3.0165159372121813
Indiana,6-Mar,6732219,50300,57,100600,125750.0,1.8678833828786616
Iowa,9-Mar,3155070,33984,45,67968,84960.0,2.692808717397712
Kansas,8-Mar,2913314,18611,40,37222,46527.5,1.5970643741114072
Kentucky,7-Mar,4467673,18670,40,37340,46675.0,1.0447273110632762
Louisiana,9-Mar,4648794,74636,42,149272,186590.0,4.0137291521198835
Maine,12-Mar,1344212,3499,51,6998,8747.5,0.6507530062222328
Maryland,6-Mar,6045680,71910,56,143820,179775.0,2.9736109089465534
Massachusetts,1-Feb,6939373,111110,73,222220,277775.0,4.002883257608432
Michigan,11-Mar,9996000,75685,73,151370,189212.5,1.8928821528611444
Minnesota,7-Mar,5639632,40767,46,81534,101917.5,1.8071657867038133
Mississippi,12-Mar,2976149,34622,31,69244,86555.0,2.908288529908953
Missouri,8-Mar,6137428,25999,38,51998,64997.5,1.0590348269666054
Montana,12-Mar,1068778,1593,14,3186,3982.5,0.3726218166915861
Nebraska,7-Mar,1934408,20623,51,41246,51557.5,2.665285710150082
Nevada,5-Mar,3080156,25908,18,51816,64770.0,2.1028155716788373
New Hampshire,2-Mar,1359711,5973,61,11946,14932.5,1.098211311080075
New Jersey,4-Mar,8882190,174628,81,349256,436570.0,4.9151166547889655
New Mexico,11-Mar,2096829,14251,41,28502,35627.5,1.6991132801005708
New York,1-Mar,19453561,400299,87,800598,1000747.5,5.144289521080485
North Carolina,3-Mar,10488084,81331,27,162662,203327.5,1.9386524745606537
North Dakota,12-Mar,762062,4154,51,8308,10385.0,1.3627500124661773
Northern Mariana Islands,28-Mar,57476,31,61,62,77.5,0.1348388892755237
Ohio,9-Mar,11689100,62856,45,125712,157140.0,1.3443293324550223
Oklahoma,7-Mar,3956971,19092,20,38184,47730.0,1.2062256711004453
Oregon,28-Feb,4217737,11454,25,22908,28635.0,0.6789185764783342
Pennsylvania,6-Mar,12801989,93876,68,187752,234690.0,1.8332307581267255
Puerto Rico,13-Mar,3193694,9137,35,18274,22842.5,0.7152375900759435
Rhode Island,7-Mar,1059361,17312,70,34624,43280.0,4.085481719640425
South Carolina,7-Mar,5148714,52419,17,104838,131047.5,2.545247220956534
South Dakota,11-Mar,884659,7401,56,14802,18502.5,2.0914838372751534
Tennessee,5-Mar,6833793,59546,25,119092,148865.0,2.1783656601831516
Texas,4-Mar,28995881,240111,16,480222,600277.5,2.070216455916618
US Virgin Islands,13-Mar,107268,153,15,306,382.5,0.356583510459783
Utah,7-Mar,3205958,28223,26,56446,70557.5,2.200824215413926
Vermont,8-Mar,623989,1277,92,2554,3192.5,0.5116276088200272
Virginia,8-Mar,8535519,68931,45,137862,172327.5,2.018945772366039
Washington,27-Feb,7614893,38581,49,77162,96452.5,1.2666297477850312
West Virginia,17-Mar,1792147,3983,36,7966,9957.5,0.5556184844211999
Wisconsin,5-Feb,5822434,38099,36,76198,95247.5,1.635870840270581
Wyoming,12-Mar,578759,1790,34,3580,4475.0,0.7732061186089547
