state,day 0,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases
Alabama,13-Mar,1432,6,2864,3580
Alaska,13-Mar,157,7,314,392.5
American Samoa,xxx,0,0,0,0
Arizona,4-Mar,1769,5,10614,13267.5
Arkansas,12-Mar,704,8,1408,1760
California,26-Jan,10701,6,21402,26752.5
Colorado,6-Mar,3728,6,7456,9320
Connecticut,8-Mar,4914,4,29484,36855
DC,8-Mar,757,5,4542,5677.5
Delaware,11-Mar,450,5,2700,3375
Florida,1-Mar,9585,5,57510,71887.5
Georgia,2-Mar,5831,4,34986,43732.5
Guam,15-Mar,84,9,168,210
Hawaii,6-Mar,285,6,570,712.5
Idaho,14-Mar,891,3,8910,11137.5
Illinois,24-Jan,8904,5,53424,66780
Indiana,6-Mar,3437,4,20622,25777.5
Iowa,9-Mar,699,5,4194,5242.5
Kansas,8-Mar,620,5,3720,4650
Kentucky,7-Mar,770,5,4620,5775
Louisiana,9-Mar,10297,3,102970,128712.5
Maine,12-Mar,432,6,864,1080
Maryland,6-Mar,2758,4,16548,20685
Massachusetts,1-Feb,10402,5,62412,78015
Michigan,11-Mar,12744,4,76464,95580
Minnesota,7-Mar,789,7,1578,1972.5
Mississippi,12-Mar,1358,6,2716,3395
Missouri,8-Mar,2113,4,12678,15847.5
Montana,12-Mar,243,7,486,607.5
Nebraska,7-Mar,279,4,1674,2092.5
Nevada,5-Mar,1514,5,9084,11355
New Hampshire,2-Mar,479,5,2874,3592.5
New Jersey,4-Mar,29895,5,179370,224212.5
New Mexico,11-Mar,403,6,806,1007.5
New York,1-Mar,102863,6,205726,257157.5
North Carolina,3-Mar,2093,5,12558,15697.5
North Dakota,12-Mar,173,6,346,432.5
Northern Mariana Islands,28-Mar,8,3,80,100
Ohio,9-Mar,3312,5,19872,24840
Oklahoma,7-Mar,988,4,5928,7410
Oregon,28-Feb,826,7,1652,2065
Pennsylvania,6-Mar,8420,4,50520,63150
Puerto Rico,13-Mar,378,4,2268,2835
Rhode Island,7-Mar,711,5,4266,5332.5
South Carolina,7-Mar,1554,5,9324,11655
South Dakota,11-Mar,187,5,1122,1402.5
Tennessee,5-Mar,3067,5,18402,23002.5
Texas,4-Mar,5330,5,31980,39975
Utah,7-Mar,1246,6,2492,3115
Vermont,8-Mar,389,7,778,972.5
Virgin Islands,13-Mar,38,7,76,95
Virginia,8-Mar,2012,4,12072,15090
Washington,27-Feb,6585,7,13170,16462.5
West Virginia,17-Mar,237,5,1422,1777.5
Wisconsin,5-Feb,1912,6,3824,4780
Wyoming,12-Mar,162,6,324,405
