state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,12744,22,25488,31860.0,0.6497817235123701
Alaska,13-Mar,710249,402,44,804,1005.0,0.14149967124205737
Arizona,4-Mar,7278717,14897,20,29794,37242.5,0.5116629757689439
Arkansas,12-Mar,3017804,5003,27,10006,12507.5,0.4144570025091093
California,26-Jan,39512223,84057,23,168114,210142.5,0.5318417543857251
Colorado,6-Mar,5758736,22482,26,44964,56205.0,0.9759954267742088
Connecticut,8-Mar,3565287,39017,29,78034,97542.5,2.735894754054863
DC,8-Mar,705749,7551,23,15102,18877.5,2.674817817666054
Delaware,11-Mar,973764,8194,23,16388,20485.0,2.1036924757949564
Florida,1-Mar,21477737,47471,33,94942,118677.5,0.5525605421092548
Georgia,2-Mar,10617423,39647,28,79294,99117.5,0.9335363204423521
Guam,15-Mar,162742,165,47,330,412.5,0.2534686804881346
Hawaii,6-Mar,1415872,641,46,1282,1602.5,0.11318113501785472
Idaho,14-Mar,1787065,2476,41,4952,6190.0,0.34637799968104127
Illinois,24-Jan,12671821,100418,21,200836,251045.0,1.9811280478157007
Indiana,6-Mar,6732219,29274,24,58548,73185.0,1.0870858479202772
Iowa,9-Mar,3155070,15614,19,31228,39035.0,1.237215022170665
Kansas,8-Mar,2913314,8539,19,17078,21347.5,0.732756578933819
Kentucky,7-Mar,4467673,8069,22,16138,20172.5,0.451521407229222
Louisiana,9-Mar,4648794,35316,41,70632,88290.0,1.899202244711209
Maine,12-Mar,1344212,1819,27,3638,4547.5,0.33830229160281267
Maryland,6-Mar,6045680,42323,20,84646,105807.5,1.75013397996586
Massachusetts,1-Feb,6939373,88970,28,177940,222425.0,3.2052607634724346
Michigan,11-Mar,9996000,53009,36,106018,132522.5,1.3257553021208484
Minnesota,7-Mar,5639632,17670,14,35340,44175.0,0.7832957895125072
Mississippi,12-Mar,2976149,11967,23,23934,29917.5,1.0052420090526382
Missouri,8-Mar,6137428,11232,30,22464,28080.0,0.45752064219735045
Montana,12-Mar,1068778,478,47,956,1195.0,0.11180993620751924
Nebraska,7-Mar,1934408,10846,17,21692,27115.0,1.4017208365556801
Nevada,5-Mar,3080156,7166,31,14332,17915.0,0.5816263851571154
New Hampshire,2-Mar,1359711,3721,22,7442,9302.5,0.6841527353974485
New Jersey,4-Mar,8882190,150399,33,300798,375997.5,4.233162091781419
New Mexico,11-Mar,2096829,6192,20,12384,15480.0,0.7382576261583562
New York,1-Mar,19453561,354370,39,708740,885925.0,4.554050541183694
North Carolina,3-Mar,10488084,20122,20,40244,50305.0,0.47963956047644163
North Dakota,12-Mar,762062,2095,20,4190,5237.5,0.687280037582244
Northern Mariana Islands,28-Mar,57476,21,37,42,52.5,0.09134247338019347
Ohio,9-Mar,11689100,29436,24,58872,73590.0,0.6295608729500133
Oklahoma,7-Mar,3956971,5532,28,11064,13830.0,0.34950976390779714
Oregon,28-Feb,4217737,3801,30,7602,9502.5,0.22529854279676517
Pennsylvania,6-Mar,12801989,63666,30,127332,159165.0,1.2432833679204067
Puerto Rico,13-Mar,3193694,2866,21,5732,7165.0,0.22434835647998838
Rhode Island,7-Mar,1059361,13356,26,26712,33390.0,3.1519000605081744
South Carolina,7-Mar,5148714,9056,28,18112,22640.0,0.43972145277442093
South Dakota,11-Mar,884659,4177,25,8354,10442.5,1.1803983229696413
Tennessee,5-Mar,6833793,18532,24,37064,46330.0,0.6779543951653203
Texas,4-Mar,28995881,51323,22,102646,128307.5,0.4425025057869426
Utah,7-Mar,3205958,7710,25,15420,19275.0,0.6012243454218676
Vermont,8-Mar,623989,944,46,1888,2360.0,0.3782117954002394
Virgin Islands,13-Mar,107268,69,48,138,172.5,0.1608121713838237
Virginia,8-Mar,8535519,32908,19,65816,82270.0,0.9638546876880012
Washington,27-Feb,7614893,18811,42,37622,47027.5,0.6175726960313165
West Virginia,17-Mar,1792147,1545,32,3090,3862.5,0.21552361497131653
Wisconsin,5-Feb,5822434,13413,20,26826,33532.5,0.575918936994391
Wyoming,12-Mar,578759,787,22,1574,1967.5,0.33995151695265213
