State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May
Alabama,13-Mar,4903185,1077,1233,1432,1580,1796,1968,2119,2369,2769,2968,3191,3525,3734,3876,4113,4345,4530,4644,4837,5025,5231,5465,5778,5832,6137,6270,6499,6687,6842,7019,7158,7434,7725,8025,8285,8581,8898,9221,9567,9777,10009,10310,10617,10968,11216,11523,11771,12086,12376,12744
Alaska,13-Mar,710249,133,143,157,171,185,191,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,341,345,351,355,355,364,365,368,370,371,372,374,377,378,379,381,383,383,387,388,392,296,399,399,402
Arizona,4-Mar,7278717,1413,1598,1769,2019,2269,2456,2575,2726,3018,3112,3393,3539,3702,3806,3962,4234,4507,4719,4929,5064,5251,5459,5769,6045,6280,6526,6716,6948,7202,7648,7962,8364,8640,8919,9305,9707,9945,10526,10960,11119,11380,11736,12176,12674,13169,13631,13937,14170,14566,14897
Arkansas,12-Mar,3017804,584,643,704,743,830,875,946,1000,1119,1171,1226,1280,1410,1480,1569,1620,1695,1739,1781,1923,2227,2276,2465,2741,2829,2941,3017,3111,3192,3255,3321,3372,3431,3458,3496,3568,3611,3694,3747,3747,4034,4164,4164,4326,4463,4578,4759,4813,4923,5003
California,26-Jan,39512223,8155,9191,10701,12026,13438,14336,15865,16957,18309,19472,19472,21794,22348,23338,24424,26182,27528,28963,30333,30978,33261,35396,37369,39254,41137,42164,43464,45031,46500,48917,50442,52197,53616,54937,56212,58815,60614,62512,64561,66680,67939,69382,71141,73164,74936,76793,78839,80430,81795,84057
Colorado,6-Mar,5758736,2966,3342,3728,4173,4565,4950,5172,5429,5655,6510,6510,6893,7684,7691,7941,8280,8675,9047,9433,9730,10106,10447,10878,11262,12256,12968,13441,13879,14735,14758,15284,15768,16225,16635,16907,17364,17830,18801,18827,19375,19899,19879,20157,20475,20838,21232,21633,21938,22202,22482
Connecticut,8-Mar,3565287,3557,38224,4914,5276,5675,6906,7781,7781,9784,10538,11510,12035,13381,13989,14755,15884,16809,16809,17550,19815,20360,22469,23100,23921,24582,25269,25269,26312,26767,27700,28764,28764,29287,29287,30621,30995,31784,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017
DC,8-Mar,705749,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551
Delaware,11-Mar,973764,368,393,450,593,673,673,928,928,1207,1326,1479,1479,1625,1761,2014,2075,2323,2323,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6277,6447,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194
Florida,1-Mar,21477737,6955,8010,9585,11111,12151,13324,14747,15455,16364,17531,18494,19355,20601,21367,22511,22897,24119,25269,25996,26600,27495,28309,28832,30174,30839,31528,32138,32846,33193,33690,34728,35463,36078,36897,37439,38002,38828,39199,40001,40596,40982,41923,42402,43210,43210,44811,45588,46442,46944,47471
